"id","city","name","geo_hash","latitude","longitude"
"LXLhmCFgR2QyzjB1W7VgQRN01igRUDsI","christchurch","NPD Rangiora","rb69x8s","-43.32724","172.600846"
"LcDzB4ET4V2DZvZ01xHaEnE6NZUhSTBd","christchurch","Caltex Hornby","rb68mc","-43.543643","172.523"
"LncyXEIxEzdMCFkTTv05dGIkoR685HVq","hamilton","BP Connect Cambridge","rckb2y5x","-37.890568","175.467477"
"LqzsddseXuGPLSNisG7c3WjiDfNEQiou","auckland","Z Ormiston Rd","rckmexr","-36.961445","174.8907531"
"LtjpAgGtiVrOqEtHTjx4ZviXK8tb3opm","wellington","Mobil Kilbirnie","rbskcw6",,
"LvTdLgMDFJR2nuQY3UWPZy3WAawAS8WW","wellington","BP Connect Waiwhetu","rbsmkp","-41.22306","174.9119"
"Lx4gDAQ2VEPDdECGFEMzRDZXPmGX5zbC","hamilton","BP Connect Tristram Street","rck9h8","-37.7913648712","175.280072526"
"Lx7f2F0CoBMYiGU8jDsqrjQmktO3uvZ1","auckland","Mobil Swanson","rcknm2r","-36.868485","174.616662"
"M3wJQEhTfAbqruy18XvHrYXlcBKZfRgg","auckland","BP Connect Mangere","rckmc2","-36.953715","174.790852"
"M76PKSIeCFDAALnb2vvaEHkgcubzA5dk","auckland","Costco Westgate","rcknt6","-36.8148709","174.6114747"
"M8vbFlk4mwOkAF3PYOepm4WtksNjrYap","christchurch","NPD Rolleston Service Station","rb684c","-43.584977","172.3899"
"MDeVPf50RpKpirI4XWw30DHEdnwjWUAa","christchurch","Mobil Riccarton","rb68rg","-43.5292958836","172.609100386"
"MRoWwHHY8ofh5Pd2AQnARjEZa3bRLmkb","wellington","NPD Kapiti","rbsrnq","-40.920173119033","175.00255345767"
"MSG8aGk3juaN4uJtvCbnLtaro6JMSQqe","wellington","Z High St","rbsmsu","-41.1978186673","174.937600244"
"MWcWVE4yDZHmqajKMXTfuFv3MWfjum5U","auckland","Gull Albany Village","rckpp68","-36.724455","174.6949709"
"MWzfQzEDc2npILTjhuSkikppIXDlDUDJ","auckland","Z Te Irirangi Dr","rckmeu","-36.97746","174.8975233"
"MXwTcWt0KipyfrMDfvVKBKR2bizetU1O","auckland","GAS Carbine Road","rckmfy","-36.9227888471","174.851096976"
"Mk71Z1671Kc208rO6fqg876HDhM26OHr","auckland","Z Ellerslie","rckq44","-36.8978379545","174.824561749"
"Mp1KlZAkNxNFcbmgERCAWcHkxpkv2YDC","auckland","Z Northcross","rckr0j","-36.709942","174.7283694"
"MwCdBKcE8CrXrB6GxzpQCjJRhWtEyXy4","christchurch","Waitomo Cranford","rb6b83","-43.498364","172.62865"
"N8fQxwuQSrB7CWFpkUqz1SSQsyT4Pcs1","auckland","BP Connect Coventry","rckqb3e","-36.772763","174.741941"
"NMqLtaF1YlHePUC1vO4Dmxqy5UviXLbc","hamilton","Tasman Fuels Morrinsville","rckcf04","-37.6602531","175.5214691"
"NNLEWcazRCPtk7mPkkTFfygUFJ3PLwC6","auckland","Mobil Smales Road","rckmgf","-36.9431700491","174.898193237"
