id,city,name,geo_hash
vS6uidkB1clA6E833kIxGILEWtHscNa7,auckland,Mobil Orams Road,rckm7w
bkl4aTa13niYpACmHlryL2RmfKnRjaHY,auckland,Z Manurewa,rckm7u
iTyPJaKDEc48KIG2mmilU42RYx8Sci8y,auckland,Mobil Manurewa,rckmkn
FfSlvWE0GtCrEm1RZqbAFEbbFN4FrHRL,auckland,Caltex Leabank,rckm7e
WFucBSR4ekmHQs46rxVlGFvpfbKdB8eF,auckland,BP Connect Weymouth,rckm76
8R0pwIKmJHMdBkAvGCOeQ27C3JBVMJpU,auckland,Mobil Clendon,rckm74
bX7FCaV486tABxFDU3Kr5K6Gd35oggON,auckland,Mobil Wiri Station,rckme2s
SH8BUyRUhcbbWnwLML6WzoYPPdwkh33I,auckland,Z Wiri Station Road,rckme23
EFayp7AAVUavzyPhtGg4d0jCssMsSoGc,auckland,Waitomo Wiri,rckm7jc
UaI5CXk2UpmqaMslMHt04vLXhOIEDsTB,auckland,Z Browns Rd,rckm7j4
UE2BupXmziALEvPUx7oe3BRzHlTQ51LH,auckland,NPD Wiri,rckmdbu
WnXILZqkodl7G61zMTBGlasgWEVXu48G,auckland,Gull Wiri,rckmdb5
WpZ4AJGt1ouNE2sigemBqnKPaPcXVAyF,auckland,Mobil Drury Lane,rckkv
3kJ3uOjlC5gRQZHGYYCJIRpumBaTe0jy,auckland,Waitomo Te Hihi,rckkf
KN5O5PWHrgShL4pSrZkUhn1H8ntxJn5Q,auckland,GAS Maraetai,rckqn
CkCrIaYy47CEHVG0ejbSV5Ak3RcuQtDs,auckland,Gull Porchester Road,rckmk8
Wlc2yRd1XFuq5gsnzI41QEF8vb5rEiL8,auckland,Mobil Porchester Road,rckmkd
48Lgk0W8GO08o1ZakLoRO3udaOY0DqqP,auckland,BP Connect Takanini,rckmk3
vQho4AeQ2PEuvWo02jCcrAS6TJ71Xr1y,auckland,Caltex Elliott Street,rckmhu
pGPh5e0NSi7TBraK8NoEyclAtGorEWix,auckland,Z Papakura North,rckmhx
P3gC7TxkFSrFHPMq6Dvb7XycNh88l8nV,auckland,Z Karaka,rckmhd
1uSOLvtDpamGBuxBMiTLn1aIZUZ0ewp4,auckland,BP Connect Papakura,rckmhb
rxThHmcMa2kWkyrCgw0NTd8KfFy1Ud5g,auckland,NPD Self Serve Manurewa,rckmk4c
T5CpraciWt3PI2YGHOhXXQmFs7815aLP,auckland,Gull Takanini,rckmk4h
3vW5JIODBbJiBw8T2UL3kIhXr2mPxzxY,auckland,Gull Papakura,rckmhww
lSQ7CC63IX8AiOzHF77loFxYIm8JdRmz,auckland,Pak 'n Save Papakura,rckmhws
K8R6HXOE1wl44YgfIuwgUZQZ3hbhDjvU,auckland,Mobil Papakura,rckmhgt
ItKugUgPxPEacsBAB4allMx8JMQppqU7,auckland,BP 2go Opaheke,rckmhgj
